name,typ,node,maxcap,deratef_2016,deratef_1976,deratef_1977,deratef_1978,deratef_1979,deratef_1980,deratef_1981,deratef_1982,deratef_1983,deratef_1984,deratef_1985,deratef_1986,deratef_1987,deratef_1988,deratef_1989,deratef_1990,deratef_1991,deratef_1992,deratef_1993,deratef_1994,deratef_1995,deratef_1996,deratef_1997,deratef_1998,deratef_1999,deratef_2000,deratef_2001,deratef_2002,deratef_2003,deratef_2004,deratef_2005
GreEnergy1,biomass_st,Songkhla,19.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chanau1,gas_cc,Songkhla,710,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chanau2,gas_cc,Songkhla,800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HatYaiGidec1,gas_ic,Songkhla,6.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chana1Sc1,wsth_st,Songkhla,248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MitrKasetrSugar1,biomass_st,Rangsit,26.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Southbangkoku1,gas_cc,SouthBangkok,335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Southbangkoku2,gas_cc,SouthBangkok,623,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Southbangkoku3,gas_st,SouthBangkok,700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SouthBangkok1,oil_st,SouthBangkok,400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SouthBangkokCc3Sc1,wsth_st,SouthBangkok,496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sriracharefineryu1,oil_ic,SrirachaRefinery,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SrirachaRefineryTocS4,oil_st,SrirachaRefinery,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
